CreatedDate,pm25_Lakshmi K: Kitchen,pm10_Lakshmi K: Kitchen,aqi_Lakshmi K: Kitchen,co2_Lakshmi K: Kitchen,voc_Lakshmi K: Kitchen,temperature_Lakshmi K: Kitchen,humidity_Lakshmi K: Kitchen,battery_Lakshmi K: Kitchen
2024-07-06 21:00:00,17.0000,21.5000,28,433.0000,206.5000,31.0,63.5000,60
2024-07-06 22:00:00,21.0000,25.5000,35,427.0000,201.5000,32.0,61.5000,80
2024-07-06 23:00:00,12.0000,15.0000,20,429.0000,159.5000,32.0,61.0000,80
2024-07-07 00:00:00,7.0000,8.0000,12,426.0000,115.0000,32.0,60.0000,100
2024-07-07 01:00:00,7.5000,9.5000,12,423.0000,111.0000,31.0,60.0000,100
2024-07-07 02:00:00,5.0000,6.5000,8,417.5000,77.0000,31.0,59.5000,100
2024-07-07 03:00:00,6.0000,8.0000,10,419.0000,78.0000,31.0,59.0000,100
2024-07-07 04:00:00,11.5000,14.0000,19,420.5000,85.5000,31.0,59.5000,100
2024-07-07 05:00:00,26.0000,31.0000,43,431.5000,121.5000,31.0,60.0000,100
2024-07-07 06:00:00,19.0000,23.0000,32,424.0000,104.5000,31.0,60.0000,100
2024-07-07 07:00:00,4.0000,5.0000,7,422.0000,102.5000,31.0,60.0000,100
2024-07-07 08:00:00,4.0000,5.0000,7,423.5000,119.0000,31.0,59.0000,100
2024-07-07 09:00:00,8.0000,10.5000,13,417.5000,129.0000,31.0,59.0000,100
2024-07-07 10:00:00,8.5000,10.5000,14,414.0000,90.0000,31.0,59.0000,100
2024-07-07 11:00:00,7.5000,9.5000,12,415.0000,80.0000,31.0,59.0000,100
2024-07-07 12:00:00,8.0000,10.5000,13,422.5000,64.5000,31.0,59.5000,100
2024-07-07 13:00:00,7.0000,8.5000,12,409.5000,54.5000,31.0,59.0000,100
2024-07-07 14:00:00,10.5000,13.0000,18,411.5000,94.5000,31.0,60.0000,100
2024-07-07 15:00:00,7.0000,9.0000,12,412.5000,92.0000,31.0,59.0000,100
2024-07-07 16:00:00,7.0000,9.5000,12,474.0000,114.0000,32.0,57.0000,100
2024-07-07 17:00:00,2.5000,3.5000,4,411.0000,85.5000,32.0,53.0000,100
2024-07-07 18:00:00,2.0000,3.5000,4,407.5000,86.5000,32.0,52.5000,100
2024-07-07 19:00:00,4.0000,5.0000,7,412.5000,127.5000,32.0,53.0000,100
2024-07-07 20:00:00,5.5000,7.0000,9,446.0000,192.0000,32.0,54.0000,100
2024-07-07 21:00:00,5.5000,6.5000,9,430.5000,212.5000,32.0,54.5000,100
2024-07-07 22:00:00,7.5000,9.5000,12,441.0000,219.5000,32.0,55.5000,100
2024-07-07 23:00:00,51.5000,59.0000,86,458.0000,245.0000,32.0,56.0000,100
2024-07-08 00:00:00,5.0000,6.0000,8,424.0000,158.0000,32.0,56.0000,100
2024-07-08 01:00:00,3.5000,4.5000,6,422.5000,139.5000,32.0,56.5000,100
2024-07-08 02:00:00,7.0000,9.0000,12,425.0000,134.0000,31.5,57.0000,100
2024-07-08 03:00:00,5.0000,6.0000,8,424.0000,120.5000,31.0,57.5000,100
2024-07-08 04:00:00,6.5000,7.5000,11,423.0000,127.5000,31.0,58.0000,100
2024-07-08 05:00:00,9.0000,12.0000,15,429.0000,144.5000,31.0,58.5000,100
2024-07-08 06:00:00,9.0000,11.0000,15,430.5000,173.5000,31.0,58.0000,100
2024-07-08 07:00:00,10.0000,12.0000,17,435.5000,251.0000,31.0,58.5000,100
2024-07-08 08:00:00,32.0000,39.0000,53,438.5000,280.5000,31.0,58.0000,100
2024-07-08 09:00:00,26.0000,31.0000,43,424.0000,192.5000,31.0,58.0000,100
2024-07-08 10:00:00,12.5000,16.0000,21,445.0000,158.5000,31.0,59.0000,100
2024-07-08 11:00:00,8.0000,10.0000,13,407.5000,82.5000,31.0,57.5000,100
2024-07-08 12:00:00,7.0000,9.0000,12,405.0000,56.5000,31.0,56.5000,100
2024-07-08 13:00:00,3.0000,4.0000,5,400.0000,53.5000,31.0,55.5000,100
2024-07-08 14:00:00,5.5000,6.5000,9,402.5000,99.5000,31.0,56.5000,100
2024-07-08 15:00:00,10.5000,13.5000,18,402.5000,162.0000,31.0,57.0000,100
2024-07-08 16:00:00,13.0000,16.5000,22,405.5000,186.5000,31.0,58.0000,100
2024-07-08 17:00:00,24.5000,29.5000,41,404.5000,189.5000,31.0,58.0000,100
2024-07-08 18:00:00,41.0000,50.5000,68,406.5000,223.5000,31.0,58.0000,100
2024-07-08 19:00:00,45.0000,55.0000,75,459.5000,390.0000,31.0,59.5000,100
2024-07-08 20:00:00,31.5000,37.5000,52,424.5000,366.0000,31.0,60.0000,100
2024-07-08 21:00:00,59.0000,72.0000,98,474.0000,626.5000,31.0,61.5000,100
2024-07-08 22:00:00,55.0000,68.0000,92,525.0000,645.0000,32.0,61.5000,100
2024-07-08 23:00:00,49.0000,60.5000,82,465.5000,557.5000,31.0,60.5000,100
2024-07-09 00:00:00,51.5000,64.0000,86,473.0000,576.0000,31.0,60.5000,100
2024-07-09 01:00:00,48.5000,60.5000,81,425.5000,429.5000,31.0,62.0000,100
2024-07-09 02:00:00,45.0000,56.5000,75,437.5000,433.5000,31.0,62.0000,100
2024-07-09 03:00:00,37.0000,45.0000,62,441.0000,335.0000,31.0,61.0000,100
2024-07-09 04:00:00,40.5000,49.5000,68,440.0000,317.0000,31.0,63.0000,100
2024-07-09 05:00:00,46.0000,57.0000,77,437.5000,306.5000,31.0,63.0000,100
2024-07-09 06:00:00,46.0000,57.0000,77,441.5000,368.5000,31.0,64.0000,100
2024-07-09 07:00:00,38.5000,47.5000,64,446.0000,379.5000,31.0,64.5000,100
2024-07-09 08:00:00,43.5000,53.5000,72,474.5000,500.5000,31.0,65.0000,100
