CreatedDate,pm25_Lakshmi K: Kitchen,pm10_Lakshmi K: Kitchen,aqi_Lakshmi K: Kitchen,co2_Lakshmi K: Kitchen,voc_Lakshmi K: Kitchen,temperature_Lakshmi K: Kitchen,humidity_Lakshmi K: Kitchen,battery_Lakshmi K: Kitchen
2024-07-05 00:30:00,24.0000,29.0000,40,498.0000,285.0000,32.0,58.0000,100
2024-07-05 01:00:00,25.0000,30.0000,42,498.0000,267.0000,32.0,58.0000,100
2024-07-05 01:30:00,22.0000,27.0000,37,506.0000,264.0000,32.0,58.0000,100
2024-07-05 02:00:00,20.0000,25.0000,33,497.0000,226.0000,32.0,58.0000,100
2024-07-05 02:30:00,16.0000,20.0000,27,475.0000,189.0000,32.0,58.0000,100
2024-07-05 03:00:00,14.0000,18.0000,23,474.0000,169.0000,32.0,59.0000,100
2024-07-05 03:30:00,15.0000,19.0000,25,475.0000,180.0000,32.0,58.0000,100
2024-07-05 04:00:00,14.0000,18.0000,23,468.0000,182.0000,32.0,58.0000,100
2024-07-05 04:30:00,15.0000,19.0000,25,468.0000,190.0000,32.0,58.0000,100
2024-07-05 05:00:00,31.0000,38.0000,52,476.0000,214.0000,32.0,58.0000,100
2024-07-05 05:30:00,48.0000,60.0000,80,715.0000,385.0000,32.0,59.0000,100
2024-07-05 06:00:00,50.0000,62.0000,83,569.0000,251.0000,32.0,60.0000,100
2024-07-05 06:30:00,43.0000,53.0000,72,498.0000,282.0000,32.0,61.0000,100
2024-07-05 07:00:00,36.0000,44.0000,60,505.0000,304.0000,32.0,63.0000,100
2024-07-05 07:30:00,37.0000,45.0000,62,460.0000,272.0000,32.0,62.0000,100
2024-07-05 08:00:00,37.0000,46.0000,62,454.0000,362.0000,32.0,63.0000,100
2024-07-05 08:30:00,45.0000,56.0000,75,449.0000,255.0000,32.0,63.0000,100
2024-07-05 09:00:00,53.0000,65.0000,88,535.0000,248.0000,32.0,62.0000,100
2024-07-05 09:30:00,52.0000,64.0000,87,517.0000,228.0000,32.0,64.0000,100
2024-07-05 10:00:00,51.0000,64.0000,85,464.0000,214.0000,32.0,64.0000,100
2024-07-05 10:30:00,56.0000,71.0000,93,447.0000,226.0000,32.0,64.0000,100
2024-07-05 11:00:00,93.0000,111.0000,210,448.0000,231.0000,32.0,64.0000,100
2024-07-05 11:30:00,67.0000,83.0000,123,443.0000,194.0000,32.0,64.0000,100
2024-07-05 12:00:00,61.0000,77.0000,103,431.0000,177.0000,32.0,65.0000,100
2024-07-05 12:30:00,54.0000,67.0000,90,427.0000,165.0000,32.0,66.0000,100
2024-07-05 13:00:00,45.0000,55.0000,75,421.0000,118.0000,32.0,64.0000,100
2024-07-05 13:30:00,48.0000,59.0000,80,419.0000,107.0000,32.0,64.0000,100
2024-07-05 14:00:00,36.0000,44.0000,60,417.0000,119.0000,32.0,64.0000,100
2024-07-05 14:30:00,34.0000,41.0000,57,417.0000,106.0000,32.0,64.0000,100
2024-07-05 15:00:00,21.0000,26.0000,35,416.0000,104.0000,32.0,62.0000,100
2024-07-05 15:30:00,23.0000,28.0000,38,416.0000,105.0000,32.0,62.0000,100
2024-07-05 16:00:00,12.0000,15.0000,20,413.0000,95.0000,32.0,61.0000,100
2024-07-05 16:30:00,12.0000,16.0000,20,416.0000,105.0000,32.0,61.0000,100
2024-07-05 17:00:00,8.0000,10.0000,13,415.0000,82.0000,32.0,61.0000,100
2024-07-05 17:30:00,7.0000,9.0000,12,415.0000,91.0000,32.0,61.0000,100
2024-07-05 18:00:00,8.0000,11.0000,13,418.0000,117.0000,32.0,62.0000,100
2024-07-05 18:30:00,9.0000,11.0000,15,422.0000,131.0000,32.0,62.0000,100
2024-07-05 19:00:00,12.0000,16.0000,20,422.0000,140.0000,31.0,62.0000,100
2024-07-05 19:30:00,17.0000,21.0000,28,426.0000,156.0000,32.0,62.0000,100
2024-07-05 20:00:00,18.0000,23.0000,30,445.0000,181.0000,31.0,62.0000,100
2024-07-05 20:30:00,19.0000,24.0000,32,453.0000,199.0000,31.0,62.0000,100
2024-07-05 21:00:00,15.0000,20.0000,25,434.0000,161.0000,31.0,63.0000,100
2024-07-05 21:30:00,176.0000,228.0000,343,677.0000,440.0000,32.0,63.0000,100
2024-07-05 22:00:00,27.0000,33.0000,45,448.0000,140.0000,32.0,61.0000,100
2024-07-05 22:30:00,13.0000,17.0000,22,427.0000,111.0000,32.0,62.0000,100
2024-07-05 23:00:00,13.0000,17.0000,22,427.0000,92.0000,32.0,62.0000,100
2024-07-05 23:30:00,12.0000,16.0000,20,424.0000,89.0000,32.0,62.0000,100
2024-07-06 00:00:00,9.0000,12.0000,15,422.0000,76.0000,32.0,62.0000,100
2024-07-06 00:30:00,10.0000,14.0000,17,422.0000,74.0000,32.0,62.0000,100
2024-07-06 01:00:00,12.0000,15.0000,20,420.0000,62.0000,32.0,62.0000,100
2024-07-06 01:30:00,13.0000,17.0000,22,422.0000,64.0000,32.0,62.0000,100
2024-07-06 02:00:00,13.0000,17.0000,22,421.0000,58.0000,31.0,62.0000,100
2024-07-06 02:30:00,14.0000,19.0000,23,419.0000,47.0000,31.0,62.0000,100
2024-07-06 03:00:00,14.0000,18.0000,23,421.0000,53.0000,31.0,62.0000,100
2024-07-06 03:30:00,15.0000,19.0000,25,424.0000,61.0000,31.0,62.0000,100
2024-07-06 04:00:00,19.0000,24.0000,32,426.0000,67.0000,31.0,62.0000,100
2024-07-06 04:30:00,24.0000,29.0000,40,428.0000,82.0000,31.0,62.0000,100
2024-07-06 05:00:00,27.0000,32.0000,45,431.0000,115.0000,31.0,62.0000,100
2024-07-06 05:30:00,30.0000,34.0000,50,431.0000,102.0000,31.0,63.0000,100
2024-07-06 06:00:00,26.0000,31.0000,43,430.0000,96.0000,31.0,62.0000,100
2024-07-06 06:30:00,21.0000,26.0000,35,435.0000,118.0000,31.0,63.0000,100
2024-07-06 07:00:00,20.0000,24.0000,33,441.0000,143.0000,31.0,62.0000,100
2024-07-06 07:30:00,26.0000,30.0000,43,432.0000,109.0000,31.0,63.0000,100
